 branch       t        N        S       dN/dS    dN       dS        N*dN   S*dS
1143..257     0.014    420.6    164.4   0.0968   0.0013   0.0131    0.5    2.1
1139..1144     0.003    420.6    164.4   0.0968   0.0003   0.0028    0.1    0.5
1144..1145     0.025    420.6    164.4   0.0968   0.0023   0.0233    1.0    3.8
1145..525     0.022    420.6    164.4   0.0968   0.0020   0.0205    0.8    3.4
1145..458     0.025    420.6    164.4   0.0968   0.0023   0.0233    0.9    3.8
1144..165     0.009    420.6    164.4   0.0968   0.0008   0.0085    0.3    1.4
1138..606     0.026    420.6    164.4   0.0968   0.0024   0.0244    1.0    4.0
1130..1146     0.003    420.6    164.4   0.0968   0.0002   0.0026    0.1    0.4
1146..412     0.037    420.6    164.4   0.0968   0.0034   0.0352    1.4    5.8
1146..860     0.037    420.6    164.4   0.0968   0.0034   0.0353    1.4    5.8
1129..1147     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1147..1148     0.006    420.6    164.4   0.0968   0.0006   0.0060    0.2    1.0
1148..216     0.038    420.6    164.4   0.0968   0.0035   0.0361    1.5    5.9
1148..1149     0.017    420.6    164.4   0.0968   0.0015   0.0158    0.6    2.6
1149..844     0.023    420.6    164.4   0.0968   0.0022   0.0223    0.9    3.7
1149..1150     0.012    420.6    164.4   0.0968   0.0011   0.0114    0.5    1.9
1150..919     0.024    420.6    164.4   0.0968   0.0022   0.0230    0.9    3.8
1150..322     0.028    420.6    164.4   0.0968   0.0026   0.0268    1.1    4.4
1147..1151     0.009    420.6    164.4   0.0968   0.0008   0.0085    0.3    1.4
1151..1152     0.019    420.6    164.4   0.0968   0.0017   0.0178    0.7    2.9
1152..160     0.009    420.6    164.4   0.0968   0.0009   0.0089    0.4    1.5
1152..1153     0.024    420.6    164.4   0.0968   0.0022   0.0226    0.9    3.7
1153..310     0.012    420.6    164.4   0.0968   0.0011   0.0110    0.4    1.8
1153..950     0.003    420.6    164.4   0.0968   0.0003   0.0031    0.1    0.5
1151..1154     0.006    420.6    164.4   0.0968   0.0006   0.0057    0.2    0.9
1154..671     0.044    420.6    164.4   0.0968   0.0040   0.0418    1.7    6.9
1154..544     0.018    420.6    164.4   0.0968   0.0017   0.0172    0.7    2.8
1128..1155     0.017    420.6    164.4   0.0968   0.0016   0.0164    0.7    2.7
1155..1156     0.006    420.6    164.4   0.0968   0.0006   0.0061    0.3    1.0
1156..1157     0.006    420.6    164.4   0.0968   0.0006   0.0057    0.2    0.9
1157..252     0.019    420.6    164.4   0.0968   0.0018   0.0182    0.7    3.0
1157..1158     0.007    420.6    164.4   0.0968   0.0006   0.0063    0.3    1.0
1158..1159     0.009    420.6    164.4   0.0968   0.0008   0.0085    0.3    1.4
1159..49      0.036    420.6    164.4   0.0968   0.0033   0.0345    1.4    5.7
1159..23      0.030    420.6    164.4   0.0968   0.0028   0.0287    1.2    4.7
1158..937     0.020    420.6    164.4   0.0968   0.0018   0.0187    0.8    3.1
1156..694     0.041    420.6    164.4   0.0968   0.0037   0.0385    1.6    6.3
1155..743     0.010    420.6    164.4   0.0968   0.0010   0.0099    0.4    1.6
1126..732     0.013    420.6    164.4   0.0968   0.0012   0.0121    0.5    2.0
1122..116     0.006    420.6    164.4   0.0968   0.0005   0.0053    0.2    0.9
1121..1160     0.011    420.6    164.4   0.0968   0.0010   0.0108    0.4    1.8
1160..1161     0.009    420.6    164.4   0.0968   0.0008   0.0082    0.3    1.3
1161..10      0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1161..1162     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1162..738     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1162..749     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1160..317     0.014    420.6    164.4   0.0968   0.0013   0.0137    0.6    2.3
1120..1163     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1163..1164     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1164..526     0.014    420.6    164.4   0.0968   0.0013   0.0136    0.6    2.2
1164..696     0.029    420.6    164.4   0.0968   0.0027   0.0277    1.1    4.5
1163..1165     0.026    420.6    164.4   0.0968   0.0024   0.0252    1.0    4.1
1165..515     0.018    420.6    164.4   0.0968   0.0016   0.0169    0.7    2.8
1165..370     0.014    420.6    164.4   0.0968   0.0013   0.0132    0.5    2.2
1119..1166     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1166..1167     0.003    420.6    164.4   0.0968   0.0002   0.0026    0.1    0.4
1167..1168     0.003    420.6    164.4   0.0968   0.0003   0.0028    0.1    0.5
1168..1169     0.012    420.6    164.4   0.0968   0.0011   0.0111    0.5    1.8
1169..753     0.023    420.6    164.4   0.0968   0.0021   0.0220    0.9    3.6
1169..734     0.011    420.6    164.4   0.0968   0.0010   0.0106    0.4    1.7
1168..1170     0.003    420.6    164.4   0.0968   0.0003   0.0028    0.1    0.5
1170..1171     0.009    420.6    164.4   0.0968   0.0009   0.0090    0.4    1.5
1171..1172     0.027    420.6    164.4   0.0968   0.0025   0.0257    1.0    4.2
1172..379     0.002    420.6    164.4   0.0968   0.0002   0.0021    0.1    0.3
1172..866     0.018    420.6    164.4   0.0968   0.0016   0.0169    0.7    2.8
1171..842     0.026    420.6    164.4   0.0968   0.0024   0.0244    1.0    4.0
1170..1173     0.000    420.6    164.4   0.0968   0.0000   0.0004    0.0    0.1
1173..1174     0.054    420.6    164.4   0.0968   0.0050   0.0515    2.1    8.5
1174..593     0.012    420.6    164.4   0.0968   0.0011   0.0113    0.5    1.9
1174..88      0.017    420.6    164.4   0.0968   0.0016   0.0164    0.7    2.7
1173..156     0.025    420.6    164.4   0.0968   0.0023   0.0239    1.0    3.9
1167..1175     0.020    420.6    164.4   0.0968   0.0019   0.0192    0.8    3.2
1175..865     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1175..105     0.006    420.6    164.4   0.0968   0.0005   0.0053    0.2    0.9
1166..1176     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1176..334     0.029    420.6    164.4   0.0968   0.0027   0.0277    1.1    4.6
1176..1177     0.007    420.6    164.4   0.0968   0.0006   0.0062    0.3    1.0
1177..1178     0.043    420.6    164.4   0.0968   0.0040   0.0411    1.7    6.8
1178..376     0.026    420.6    164.4   0.0968   0.0024   0.0251    1.0    4.1
1178..1179     0.009    420.6    164.4   0.0968   0.0008   0.0086    0.4    1.4
1179..856     0.014    420.6    164.4   0.0968   0.0013   0.0134    0.5    2.2
1179..346     0.020    420.6    164.4   0.0968   0.0019   0.0193    0.8    3.2
1177..1180     0.021    420.6    164.4   0.0968   0.0019   0.0195    0.8    3.2
1180..80      0.022    420.6    164.4   0.0968   0.0020   0.0210    0.9    3.5
1180..1181     0.014    420.6    164.4   0.0968   0.0013   0.0131    0.5    2.2
1181..1182     0.006    420.6    164.4   0.0968   0.0005   0.0053    0.2    0.9
1182..728     0.005    420.6    164.4   0.0968   0.0005   0.0050    0.2    0.8
1182..1183     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1183..909     0.003    420.6    164.4   0.0968   0.0003   0.0029    0.1    0.5
1183..566     0.003    420.6    164.4   0.0968   0.0003   0.0030    0.1    0.5
1181..1184     0.003    420.6    164.4   0.0968   0.0003   0.0028    0.1    0.5
1184..1185     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1185..889     0.019    420.6    164.4   0.0968   0.0017   0.0180    0.7    3.0
1185..177     0.006    420.6    164.4   0.0968   0.0006   0.0061    0.2    1.0
1184..1186     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1186..158     0.006    420.6    164.4   0.0968   0.0005   0.0055    0.2    0.9
1186..1187     0.003    420.6    164.4   0.0968   0.0003   0.0029    0.1    0.5
1187..272     0.003    420.6    164.4   0.0968   0.0003   0.0029    0.1    0.5
1187..414     0.012    420.6    164.4   0.0968   0.0011   0.0117    0.5    1.9
1114..1188     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.5
1188..1189     0.005    420.6    164.4   0.0968   0.0004   0.0045    0.2    0.7
1189..1190     0.052    420.6    164.4   0.0968   0.0048   0.0499    2.0    8.2
1190..507     0.002    420.6    164.4   0.0968   0.0002   0.0023    0.1    0.4
1190..1191     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1191..745     0.016    420.6    164.4   0.0968   0.0015   0.0151    0.6    2.5
1191..1192     0.013    420.6    164.4   0.0968   0.0012   0.0122    0.5    2.0
1192..801     0.020    420.6    164.4   0.0968   0.0019   0.0195    0.8    3.2
1192..439     0.040    420.6    164.4   0.0968   0.0037   0.0383    1.6    6.3
1189..1193     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1193..1194     0.024    420.6    164.4   0.0968   0.0022   0.0229    0.9    3.8
1194..1195     0.024    420.6    164.4   0.0968   0.0022   0.0227    0.9    3.7
1195..1196     0.021    420.6    164.4   0.0968   0.0020   0.0204    0.8    3.4
1196..639     0.030    420.6    164.4   0.0968   0.0028   0.0289    1.2    4.7
1196..637     0.053    420.6    164.4   0.0968   0.0049   0.0507    2.1    8.3
1195..1197     0.083    420.6    164.4   0.0968   0.0076   0.0787    3.2   12.9
1197..1198     0.008    420.6    164.4   0.0968   0.0007   0.0073    0.3    1.2
1198..250     0.007    420.6    164.4   0.0968   0.0007   0.0069    0.3    1.1
1198..186     0.007    420.6    164.4   0.0968   0.0007   0.0070    0.3    1.1
1197..1199     0.007    420.6    164.4   0.0968   0.0007   0.0071    0.3    1.2
1199..1200     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1200..1201     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1201..1202     0.004    420.6    164.4   0.0968   0.0003   0.0034    0.1    0.6
1202..314     0.018    420.6    164.4   0.0968   0.0017   0.0175    0.7    2.9
1202..1203     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1203..1204     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1204..369     0.007    420.6    164.4   0.0968   0.0007   0.0071    0.3    1.2
1204..64      0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1203..1205     0.004    420.6    164.4   0.0968   0.0003   0.0034    0.1    0.6
1205..920     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1205..945     0.007    420.6    164.4   0.0968   0.0007   0.0069    0.3    1.1
1201..669     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1200..1206     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1206..1207     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1207..1208     0.004    420.6    164.4   0.0968   0.0003   0.0034    0.1    0.6
1208..602     0.022    420.6    164.4   0.0968   0.0020   0.0211    0.9    3.5
1208..815     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1207..1209     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1209..2       0.011    420.6    164.4   0.0968   0.0010   0.0105    0.4    1.7
1209..1210     0.004    420.6    164.4   0.0968   0.0003   0.0034    0.1    0.6
1210..1211     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1211..932     0.026    420.6    164.4   0.0968   0.0024   0.0245    1.0    4.0
1211..339     0.007    420.6    164.4   0.0968   0.0007   0.0069    0.3    1.1
1210..249     0.004    420.6    164.4   0.0968   0.0003   0.0035    0.1    0.6
1206..1212     0.004    420.6    164.4   0.0968   0.0003   0.0035    0.1    0.6
1212..664     0.011    420.6    164.4   0.0968   0.0010   0.0104    0.4    1.7
1212..690     0.007    420.6    164.4   0.0968   0.0007   0.0069    0.3    1.1
1199..885     0.011    420.6    164.4   0.0968   0.0010   0.0104    0.4    1.7
1194..826     0.024    420.6    164.4   0.0968   0.0022   0.0230    0.9    3.8
1193..1213     0.073    420.6    164.4   0.0968   0.0067   0.0693    2.8   11.4
1213..929     0.056    420.6    164.4   0.0968   0.0052   0.0534    2.2    8.8
1213..14      0.072    420.6    164.4   0.0968   0.0067   0.0689    2.8   11.3
1188..1214     0.003    420.6    164.4   0.0968   0.0002   0.0025    0.1    0.4
1214..787     0.003    420.6    164.4   0.0968   0.0003   0.0028    0.1    0.5
1214..591     0.020    420.6    164.4   0.0968   0.0018   0.0190    0.8    3.1
1113..1215     0.011    420.6    164.4   0.0968   0.0011   0.0109    0.4    1.8
1215..284     0.043    420.6    164.4   0.0968   0.0040   0.0412    1.7    6.8
1215..1216     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1216..1217     0.017    420.6    164.4   0.0968   0.0015   0.0157    0.6    2.6
1217..1218     0.041    420.6    164.4   0.0968   0.0038   0.0389    1.6    6.4
1218..724     0.012    420.6    164.4   0.0968   0.0011   0.0115    0.5    1.9
1218..645     0.034    420.6    164.4   0.0968   0.0031   0.0324    1.3    5.3
1217..1219     0.016    420.6    164.4   0.0968   0.0015   0.0150    0.6    2.5
1219..1220     0.032    420.6    164.4   0.0968   0.0029   0.0304    1.2    5.0
1220..1221     0.092    420.6    164.4   0.0968   0.0085   0.0879    3.6   14.5
1221..1222     0.011    420.6    164.4   0.0968   0.0010   0.0102    0.4    1.7
1222..1223     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1223..497     0.022    420.6    164.4   0.0968   0.0021   0.0213    0.9    3.5
1223..1224     0.003    420.6    164.4   0.0968   0.0003   0.0026    0.1    0.4
1224..1225     0.013    420.6    164.4   0.0968   0.0012   0.0121    0.5    2.0
1225..1226     0.006    420.6    164.4   0.0968   0.0006   0.0057    0.2    0.9
1226..799     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1226..949     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1225..1227     0.006    420.6    164.4   0.0968   0.0006   0.0059    0.2    1.0
1227..416     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1227..27      0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1224..1228     0.013    420.6    164.4   0.0968   0.0012   0.0119    0.5    2.0
1228..1229     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1229..121     0.009    420.6    164.4   0.0968   0.0008   0.0087    0.4    1.4
1229..211     0.006    420.6    164.4   0.0968   0.0006   0.0058    0.2    0.9
1228..92      0.006    420.6    164.4   0.0968   0.0006   0.0058    0.2    1.0
1222..1230     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1230..1231     0.006    420.6    164.4   0.0968   0.0006   0.0057    0.2    0.9
1231..243     0.003    420.6    164.4   0.0968   0.0003   0.0030    0.1    0.5
1231..1232     0.009    420.6    164.4   0.0968   0.0009   0.0090    0.4    1.5
1232..66      0.009    420.6    164.4   0.0968   0.0008   0.0087    0.4    1.4
1232..1233     0.004    420.6    164.4   0.0968   0.0004   0.0038    0.2    0.6
1233..1234     0.008    420.6    164.4   0.0968   0.0007   0.0076    0.3    1.3
1234..1235     0.003    420.6    164.4   0.0968   0.0003   0.0030    0.1    0.5
1235..363     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1235..301     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1234..1236     0.000    420.6    164.4   0.0968   0.0000   0.0001    0.0    0.0
1236..163     0.003    420.6    164.4   0.0968   0.0003   0.0029    0.1    0.5
1236..1237     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1237..487     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1237..584     0.003    420.6    164.4   0.0968   0.0003   0.0029    0.1    0.5
1233..1238     0.003    420.6    164.4   0.0968   0.0003   0.0030    0.1    0.5
1238..910     0.007    420.6    164.4   0.0968   0.0007   0.0071    0.3    1.2
1238..1239     0.008    420.6    164.4   0.0968   0.0007   0.0077    0.3    1.3
1239..716     0.003    420.6    164.4   0.0968   0.0003   0.0029    0.1    0.5
1239..882     0.006    420.6    164.4   0.0968   0.0006   0.0057    0.2    0.9
1230..1240     0.006    420.6    164.4   0.0968   0.0006   0.0059    0.2    1.0
1240..603     0.022    420.6    164.4   0.0968   0.0020   0.0208    0.8    3.4
1240..1241     0.009    420.6    164.4   0.0968   0.0008   0.0086    0.4    1.4
1241..373     0.003    420.6    164.4   0.0968   0.0003   0.0028    0.1    0.5
1241..1242     0.003    420.6    164.4   0.0968   0.0003   0.0029    0.1    0.5
1242..777     0.003    420.6    164.4   0.0968   0.0003   0.0029    0.1    0.5
1242..1243     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1243..924     0.006    420.6    164.4   0.0968   0.0006   0.0057    0.2    0.9
1243..1244     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1244..862     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1244..1245     0.003    420.6    164.4   0.0968   0.0003   0.0029    0.1    0.5
1245..368     0.006    420.6    164.4   0.0968   0.0006   0.0058    0.2    0.9
1245..774     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1221..1246     0.003    420.6    164.4   0.0968   0.0003   0.0028    0.1    0.5
1246..1247     0.006    420.6    164.4   0.0968   0.0005   0.0054    0.2    0.9
1247..101     0.009    420.6    164.4   0.0968   0.0008   0.0083    0.3    1.4
1247..881     0.019    420.6    164.4   0.0968   0.0018   0.0184    0.7    3.0
1246..1248     0.013    420.6    164.4   0.0968   0.0012   0.0122    0.5    2.0
1248..780     0.012    420.6    164.4   0.0968   0.0011   0.0118    0.5    1.9
1248..934     0.013    420.6    164.4   0.0968   0.0012   0.0119    0.5    2.0
1220..1249     0.085    420.6    164.4   0.0968   0.0078   0.0804    3.3   13.2
1249..228     0.043    420.6    164.4   0.0968   0.0040   0.0409    1.7    6.7
1249..1250     0.026    420.6    164.4   0.0968   0.0024   0.0248    1.0    4.1
1250..335     0.072    420.6    164.4   0.0968   0.0066   0.0680    2.8   11.2
1250..1251     0.014    420.6    164.4   0.0968   0.0012   0.0128    0.5    2.1
1251..1252     0.004    420.6    164.4   0.0968   0.0004   0.0040    0.2    0.7
1252..618     0.028    420.6    164.4   0.0968   0.0025   0.0262    1.1    4.3
1252..925     0.046    420.6    164.4   0.0968   0.0042   0.0436    1.8    7.2
1251..1253     0.004    420.6    164.4   0.0968   0.0003   0.0034    0.1    0.6
1253..1254     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1254..1255     0.005    420.6    164.4   0.0968   0.0005   0.0047    0.2    0.8
1255..553     0.006    420.6    164.4   0.0968   0.0006   0.0061    0.3    1.0
1255..1256     0.003    420.6    164.4   0.0968   0.0003   0.0028    0.1    0.5
1256..1257     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1257..638     0.027    420.6    164.4   0.0968   0.0025   0.0261    1.1    4.3
1257..928     0.015    420.6    164.4   0.0968   0.0014   0.0144    0.6    2.4
1256..1258     0.005    420.6    164.4   0.0968   0.0005   0.0048    0.2    0.8
1258..195     0.023    420.6    164.4   0.0968   0.0021   0.0220    0.9    3.6
1258..189     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1254..1259     0.006    420.6    164.4   0.0968   0.0005   0.0053    0.2    0.9
1259..1260     0.012    420.6    164.4   0.0968   0.0011   0.0119    0.5    2.0
1260..354     0.010    420.6    164.4   0.0968   0.0010   0.0100    0.4    1.6
1260..133     0.034    420.6    164.4   0.0968   0.0032   0.0328    1.3    5.4
1259..365     0.018    420.6    164.4   0.0968   0.0016   0.0168    0.7    2.8
1253..1261     0.012    420.6    164.4   0.0968   0.0011   0.0112    0.5    1.8
1261..321     0.009    420.6    164.4   0.0968   0.0008   0.0084    0.3    1.4
1261..482     0.006    420.6    164.4   0.0968   0.0005   0.0053    0.2    0.9
1219..535     0.081    420.6    164.4   0.0968   0.0074   0.0766    3.1   12.6
1216..1262     0.011    420.6    164.4   0.0968   0.0010   0.0101    0.4    1.7
1262..1263     0.094    420.6    164.4   0.0968   0.0087   0.0894    3.6   14.7
1263..352     0.032    420.6    164.4   0.0968   0.0029   0.0304    1.2    5.0
1263..260     0.015    420.6    164.4   0.0968   0.0014   0.0143    0.6    2.4
1262..1264     0.005    420.6    164.4   0.0968   0.0005   0.0050    0.2    0.8
1264..930     0.022    420.6    164.4   0.0968   0.0020   0.0209    0.8    3.4
1264..1265     0.007    420.6    164.4   0.0968   0.0007   0.0070    0.3    1.2
1265..558     0.032    420.6    164.4   0.0968   0.0030   0.0307    1.2    5.0
1265..824     0.033    420.6    164.4   0.0968   0.0030   0.0314    1.3    5.2
1109..1266     0.134    420.6    164.4   0.0968   0.0123   0.1275    5.2   21.0
1266..1267     0.016    420.6    164.4   0.0968   0.0015   0.0154    0.6    2.5
1267..1268     0.039    420.6    164.4   0.0968   0.0036   0.0370    1.5    6.1
1268..1269     0.059    420.6    164.4   0.0968   0.0054   0.0560    2.3    9.2
1269..449     0.146    420.6    164.4   0.0968   0.0134   0.1384    5.6   22.8
1269..1270     0.058    420.6    164.4   0.0968   0.0053   0.0547    2.2    9.0
1270..71      0.050    420.6    164.4   0.0968   0.0046   0.0473    1.9    7.8
1270..192     0.180    420.6    164.4   0.0968   0.0166   0.1716    7.0   28.2
1268..692     0.094    420.6    164.4   0.0968   0.0086   0.0890    3.6   14.6
1267..903     0.042    420.6    164.4   0.0968   0.0039   0.0401    1.6    6.6
1266..1271     0.017    420.6    164.4   0.0968   0.0016   0.0163    0.7    2.7
1271..1272     0.031    420.6    164.4   0.0968   0.0028   0.0294    1.2    4.8
1272..1273     0.013    420.6    164.4   0.0968   0.0012   0.0121    0.5    2.0
1273..806     0.020    420.6    164.4   0.0968   0.0018   0.0191    0.8    3.1
1273..1274     0.013    420.6    164.4   0.0968   0.0012   0.0120    0.5    2.0
1274..5       0.002    420.6    164.4   0.0968   0.0002   0.0018    0.1    0.3
1274..384     0.136    420.6    164.4   0.0968   0.0125   0.1290    5.2   21.2
1272..1275     0.035    420.6    164.4   0.0968   0.0032   0.0329    1.3    5.4
1275..99      0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1275..805     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1271..1276     0.045    420.6    164.4   0.0968   0.0042   0.0432    1.8    7.1
1276..1277     0.080    420.6    164.4   0.0968   0.0073   0.0760    3.1   12.5
1277..24      0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1277..476     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1276..188     0.068    420.6    164.4   0.0968   0.0063   0.0650    2.6   10.7
1108..1278     0.013    420.6    164.4   0.0968   0.0012   0.0127    0.5    2.1
1278..1279     0.165    420.6    164.4   0.0968   0.0152   0.1567    6.4   25.8
1279..1280     0.075    420.6    164.4   0.0968   0.0069   0.0715    2.9   11.8
1280..1281     0.064    420.6    164.4   0.0968   0.0059   0.0612    2.5   10.1
1281..1282     0.375    420.6    164.4   0.0968   0.0345   0.3570   14.5   58.7
1282..1283     0.374    420.6    164.4   0.0968   0.0344   0.3553   14.5   58.4
1283..232     0.043    420.6    164.4   0.0968   0.0039   0.0408    1.7    6.7
1283..1284     0.103    420.6    164.4   0.0968   0.0095   0.0978    4.0   16.1
1284..718     0.014    420.6    164.4   0.0968   0.0013   0.0136    0.6    2.2
1284..513     0.023    420.6    164.4   0.0968   0.0021   0.0217    0.9    3.6
1282..1285     0.088    420.6    164.4   0.0968   0.0081   0.0834    3.4   13.7
1285..1286     0.176    420.6    164.4   0.0968   0.0162   0.1671    6.8   27.5
1286..1287     0.006    420.6    164.4   0.0968   0.0005   0.0056    0.2    0.9
1287..1288     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1288..527     0.019    420.6    164.4   0.0968   0.0018   0.0185    0.8    3.0
1288..202     0.028    420.6    164.4   0.0968   0.0026   0.0267    1.1    4.4
1287..804     0.025    420.6    164.4   0.0968   0.0023   0.0241    1.0    4.0
1286..1289     0.008    420.6    164.4   0.0968   0.0007   0.0076    0.3    1.3
1289..1290     0.003    420.6    164.4   0.0968   0.0003   0.0026    0.1    0.4
1290..1291     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1291..1292     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1292..1293     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1293..1294     0.011    420.6    164.4   0.0968   0.0010   0.0107    0.4    1.8
1294..632     0.011    420.6    164.4   0.0968   0.0010   0.0104    0.4    1.7
1294..126     0.014    420.6    164.4   0.0968   0.0013   0.0133    0.5    2.2
1293..381     0.008    420.6    164.4   0.0968   0.0008   0.0078    0.3    1.3
1292..1295     0.003    420.6    164.4   0.0968   0.0002   0.0026    0.1    0.4
1295..132     0.003    420.6    164.4   0.0968   0.0003   0.0026    0.1    0.4
1295..890     0.017    420.6    164.4   0.0968   0.0015   0.0158    0.6    2.6
1291..1296     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1296..184     0.003    420.6    164.4   0.0968   0.0003   0.0026    0.1    0.4
1296..1297     0.003    420.6    164.4   0.0968   0.0003   0.0026    0.1    0.4
1297..533     0.008    420.6    164.4   0.0968   0.0008   0.0079    0.3    1.3
1297..1298     0.003    420.6    164.4   0.0968   0.0002   0.0026    0.1    0.4
1298..1299     0.014    420.6    164.4   0.0968   0.0013   0.0133    0.5    2.2
1299..1300     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1300..279     0.003    420.6    164.4   0.0968   0.0003   0.0026    0.1    0.4
1300..1301     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1301..421     0.005    420.6    164.4   0.0968   0.0005   0.0052    0.2    0.9
1301..798     0.011    420.6    164.4   0.0968   0.0010   0.0105    0.4    1.7
1299..633     0.005    420.6    164.4   0.0968   0.0005   0.0052    0.2    0.9
1298..1302     0.006    420.6    164.4   0.0968   0.0005   0.0054    0.2    0.9
1302..814     0.011    420.6    164.4   0.0968   0.0010   0.0105    0.4    1.7
1302..853     0.006    420.6    164.4   0.0968   0.0005   0.0053    0.2    0.9
1290..1303     0.008    420.6    164.4   0.0968   0.0008   0.0078    0.3    1.3
1303..463     0.003    420.6    164.4   0.0968   0.0003   0.0026    0.1    0.4
1303..1304     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1304..29      0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1304..408     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1289..1305     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1305..1306     0.003    420.6    164.4   0.0968   0.0003   0.0026    0.1    0.4
1306..1307     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1307..852     0.003    420.6    164.4   0.0968   0.0003   0.0026    0.1    0.4
1307..1308     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1308..955     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1308..1309     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1309..255     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1309..1310     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1310..1311     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1311..1312     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1312..1313     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1313..1314     0.003    420.6    164.4   0.0968   0.0003   0.0026    0.1    0.4
